c,a,d,C-IonicRadius,C-ElectroNegativity,A-IonicRadius,A-ElectroNegativity,D-IonicRadius,D-ElectroNegativity,FormEnergyPerAtom
Sr2+,Al3+,Sn4+,1.32,0.95,0.675,1.61,0.83,1.96,-0.005760943624999726
Yb3+,Y3+,Al3+,1.008,1.1,1.04,1.22,0.675,1.61,-0.15935332531249954
Gd3+,Lu3+,Ga3+,1.075,1.2,1.001,1.27,0.76,1.81,-0.045282656468749495
Lu3+,Yb3+,Ga3+,1.001,1.27,1.008,1.1,0.76,1.81,-0.07517779446874898
Ca2+,Lu3+,Sn4+,1.14,1.0,1.001,1.27,0.83,1.96,0.00401719068750026
Mg2+,Yb3+,Sn4+,0.86,1.31,1.008,1.1,0.83,1.96,0.1631709393750004
Lu3+,Ho3+,Al3+,1.001,1.27,1.041,1.23,0.675,1.61,0.0512766864062499
Bi3+,Ga3+,Ga3+,1.17,2.02,0.76,1.81,0.76,1.81,-0.014399158062499851
Lu3+,Yb3+,Al3+,1.001,1.27,1.008,1.1,0.675,1.61,-0.06420482009375021
Yb3+,Lu3+,Al3+,1.008,1.1,1.001,1.27,0.675,1.61,-0.18449223649999916
Ho3+,Yb3+,Ga3+,1.041,1.23,1.008,1.1,0.76,1.81,-0.11511400581249945
Ca2+,Er3+,Ti4+,1.14,1.0,1.03,1.24,0.745,1.54,-0.13209750531249967
Na1+,Yb3+,As5+,1.16,0.93,1.008,1.1,0.6,2.18,-0.48264898918749993
Ho3+,Y3+,Ga3+,1.041,1.23,1.04,1.22,0.76,1.81,0.007789705062500474
Zn2+,Yb3+,Ti4+,0.88,1.65,1.008,1.1,0.745,1.54,0.10716712500000014
Sr2+,Yb3+,Ti4+,1.32,0.95,1.008,1.1,0.745,1.54,-0.30924161874999995
Mg2+,Yb3+,Ti4+,0.86,1.31,1.008,1.1,0.745,1.54,0.015948447000000244
Lu3+,Cr3+,Al3+,1.001,1.27,0.755,1.66,0.675,1.61,-0.035971266718749464
Ho3+,Lu3+,Al3+,1.041,1.23,1.001,1.27,0.675,1.61,-0.012252583750000313
Lu3+,Dy3+,Ga3+,1.001,1.27,1.052,1.22,0.76,1.81,0.05013607378125044
Lu3+,Rh3+,Ga3+,1.001,1.27,0.805,2.28,0.76,1.81,-0.013826224843749202
Yb3+,Y3+,Ga3+,1.008,1.1,1.04,1.22,0.76,1.81,-0.17030212456249955
Dy3+,Y3+,Al3+,1.052,1.22,1.04,1.22,0.675,1.61,0.012057033875000655
Ho3+,Ga3+,Ga3+,1.041,1.23,0.76,1.81,0.76,1.81,-0.04849566831250059
Yb3+,Tm3+,Ga3+,1.008,1.1,1.02,1.25,0.76,1.81,-0.18773984975000033
La3+,Lu3+,Ga3+,1.172,1.1,1.001,1.27,0.76,1.81,-0.07871853906249945
Y3+,Lu3+,Al3+,1.04,1.22,1.001,1.27,0.675,1.61,-0.01980097181250038
Tb3+,Yb3+,Al3+,1.063,1.1,1.008,1.1,0.675,1.61,-0.11736201778125092
Y3+,Yb3+,Al3+,1.04,1.22,1.008,1.1,0.675,1.61,-0.10992592787500044
Cd2+,Yb3+,Ti4+,1.09,1.69,1.008,1.1,0.745,1.54,-0.09610397462499876
Lu3+,Dy3+,Al3+,1.001,1.27,1.052,1.22,0.675,1.61,0.059521029156250196
Nd3+,Lu3+,Ga3+,1.123,1.14,1.001,1.27,0.76,1.81,-0.0777890471249993
Lu3+,Lu3+,Ga3+,1.001,1.27,1.001,1.27,0.76,1.81,0.01671548696875007
Ca2+,Ga3+,Ti4+,1.14,1.0,0.76,1.81,0.745,1.54,-0.11436326024999985
Yb3+,Er3+,Ga3+,1.008,1.1,1.03,1.24,0.76,1.81,-0.18212364437499956
Yb3+,Al3+,Ga3+,1.008,1.1,0.675,1.61,0.76,1.81,-0.22246841443749937
Nd3+,Rh3+,Al3+,1.123,1.14,0.805,2.28,0.675,1.61,-0.029849230937500693
